code,event,id,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
2128288,1,2,2020-09-12T11:30:00Z,1,3,8,0,3,2
2128287,1,1,2020-09-12T14:00:00Z,16,0,6,1,2,3
2128289,1,3,2020-09-12T16:30:00Z,10,3,11,4,3,3
2128293,1,6,2020-09-12T19:00:00Z,14,2,19,0,2,4
2128292,1,5,2020-09-13T13:00:00Z,9,3,18,0,4,2
2128291,1,4,2020-09-13T15:30:00Z,7,1,17,0,4,4
2128295,1,8,2020-09-14T17:00:00Z,20,2,15,0,2,2
2128294,1,7,2020-09-14T19:15:00Z,5,3,3,1,4,3
2128299,2,12,2020-09-19T11:30:00Z,18,2,7,5,2,3
2128300,2,13,2020-09-19T14:00:00Z,8,3,10,4,2,3
2128302,2,15,2020-09-19T16:30:00Z,6,3,13,1,2,4
2128296,2,9,2020-09-19T19:00:00Z,19,1,1,2,4,4
2128304,2,17,2020-09-20T11:00:00Z,17,5,16,2,3,2
2128303,2,16,2020-09-20T13:00:00Z,3,3,14,0,3,2
2128298,2,11,2020-09-20T15:30:00Z,11,2,5,0,4,4
2128301,2,14,2020-09-20T18:00:00Z,4,2,9,4,2,4
2128297,2,10,2020-09-21T17:00:00Z,15,0,2,1,2,3
2128305,2,18,2020-09-21T19:15:00Z,12,3,20,1,4,3
2128306,3,19,2020-09-26T11:30:00Z,13,3,3,2,4,3
2128308,3,21,2020-09-26T14:00:00Z,7,2,6,1,4,3
2128314,3,27,2020-09-26T16:30:00Z,5,3,18,3,4,2
2128307,3,20,2020-09-26T19:00:00Z,16,1,4,0,2,2
2128312,3,25,2020-09-27T11:00:00Z,10,1,15,0,3,2
2128313,3,26,2020-09-27T13:00:00Z,14,1,17,1,2,4
2128311,3,24,2020-09-27T15:30:00Z,9,5,12,2,4,5
2128315,3,28,2020-09-27T18:00:00Z,20,0,19,4,2,4
2128309,3,22,2020-09-28T16:45:00Z,2,3,8,0,2,2
2128310,3,23,2020-09-28T19:00:00Z,1,1,11,3,3,3
2128318,4,31,2020-10-03T11:30:00Z,6,0,5,4,2,4
