code,first_name,id,second_name,team_code,web_name
37605,Mesut,1,Özil,3,Özil
39476,Sokratis,2,Papastathopoulos,3,Sokratis
41270,David,3,Luiz Moreira Marinho,3,David Luiz
54694,Pierre-Emerick,4,Aubameyang,3,Aubameyang
58822,Cédric,5,Soares,3,Cédric
59966,Alexandre,6,Lacazette,3,Lacazette
69140,Shkodran,7,Mustafi,3,Mustafi
80201,Bernd,8,Leno,3,Leno
84450,Granit,9,Xhaka,3,Xhaka
92371,Pablo,10,Marí,3,Marí
98745,Héctor,11,Bellerín,3,Bellerín
101184,Calum,13,Chambers,3,Chambers
111457,Sead,14,Kolasinac,3,Kolasinac
156074,Rob,16,Holding,3,Holding
192895,Kieran,17,Tierney,3,Tierney
195735,Nicolas,18,Pépé,3,Pépé
198849,Lucas,19,Torreira,3,Torreira
200641,Reiss,21,Nelson,3,Nelson
205533,Edward,22,Nketiah,3,Nketiah
209289,Emile,23,Smith Rowe,3,Smith Rowe
223340,Bukayo,24,Saka,3,Saka
242166,Matteo,25,Guendouzi,3,Guendouzi
444145,Gabriel Teodoro,26,Martinelli Silva,3,Martinelli
462424,William,27,Saliba,3,Saliba
131897,Mathew,70,Ryan,36,Ryan
47431,Willian,478,Borges Da Silva,3,Willian
226597,Gabriel,494,Magalhães,3,Gabriel
182539,Daniel,501,Ceballos Fernández,3,Ceballos
153256,Mohamed Naser,526,El Sayed Elneny,3,Elneny
113534,Matt,527,Macey,3,Macey
115918,Rúnar Alex,547,Rúnarsson,3,Rúnarsson
167199,Thomas,567,Partey,3,Partey
184029,Martin,645,Ødegaard,3,Ødegaard
439482,Miguel,689,Azeez,3,Azeez
98980,Emiliano,12,Martínez,3,Martínez
21205,Tom,28,Heaton,7,Heaton
37339,Ahmed,29,El Mohamady,7,El Mohamady
40564,Henri,30,Lansbury,7,Lansbury
47390,Neil,31,Taylor,7,Taylor
79852,Jed,32,Steer,7,Steer
85242,Conor,33,Hourihane,7,Hourihane
89274,José Ignacio,34,Peleteiro Romallo,7,Jota
98770,Ørjan,35,Nyland,7,Nyland
108156,Bjorn,36,Engels,7,Engels
114283,Jack,37,Grealish,7,Grealish
122806,John,38,McGinn,7,McGinn
123354,Kortney,39,Hause,7,Hause
148508,Mahmoud Ahmed,40,Ibrahim Hassan,7,Trézéguet
149484,Tyrone,41,Mings,7,Mings
169359,Matt,42,Targett,7,Targett
184386,James,43,Bree,7,Bree
184704,Marvelous,44,Nakamba,7,Nakamba
193488,Anwar,45,El Ghazi,7,El Ghazi
199798,Ezri,46,Konsa Ngoyo,7,Konsa
203368,Frédéric,47,Guilbert,7,Guilbert
213345,Wesley,48,Moraes,7,Wesley
217487,Mbwana,49,Samatta,7,Samatta
221239,Keinan,50,Davis,7,Davis
223349,Indiana,51,Vassilev,7,Vassilev
230046,Douglas Luiz,52,Soares de Paulo,7,Douglas Luiz
88894,Ross,106,Barkley,8,Barkley
199796,Matthew,496,Cash,7,Cash
178301,Ollie,514,Watkins,7,Watkins
110504,Bertrand,540,Traoré,7,Traoré
232653,Jacob,554,Ramsey,7,Ramsey
122775,Morgan,647,Sanson,7,Sanson
465390,Kaine,671,Hayden,7,Hayden
478912,Carney,672,Chukwuemeka,7,Chukwuemeka
481624,Jaden,683,Philogene-Bidace,7,Philogene-Bidace
20529,Glenn,53,Murray,36,Murray
39155,Adam,54,Lallana,36,Lallana
60307,Pascal,57,Groß,36,Groß
61933,Shane,58,Duffy,36,Duffy
66242,Davy,59,Pröpper,36,Pröpper
74471,Aaron,60,Mooy,36,Mooy
78916,Dan,61,Burn,36,Burn
83299,Lewis,62,Dunk,36,Dunk
86153,Martín,63,Montoya,36,Montoya
93284,Florin,64,Andone,36,Andone
109345,Solomon,65,March,36,March
110735,Adam,66,Webster,36,Webster
111478,Joël,67,Veltman,36,Veltman
115382,Neal,68,Maupay,36,Maupay
116216,Leandro,69,Trossard,36,Trossard
165210,Alireza,71,Jahanbakhsh,36,Jahanbakhsh
167473,José,72,Izquierdo,36,Izquierdo
178173,Matthew,73,Clarke,36,Clarke
198869,Ben,74,White,36,White
209362,Bernardo,75,Fernandes da Silva Junior,36,Bernardo
227127,Yves,76,Bissouma,36,Bissouma
232792,Tariq,77,Lamptey,36,Lamptey
233425,Aaron,78,Connolly,36,Connolly
235382,Steven,79,Alzate,36,Alzate
243016,Alexis,80,Mac Allister,36,Mac Allister
108813,Christian,503,Walton,36,Walton
49262,Jason,528,Steele,36,Steele
220738,Jayson,550,Molumby,36,Molumby
204676,Andi,574,Zeqiri,36,Zeqiri
50175,Danny,588,Welbeck,36,Welbeck
215059,Robert,597,Sánchez,36,Sánchez
230127,Percy,627,Tau,36,Tau
243505,Jakub,628,Moder,36,Moder
465572,Reda,630,Khadra,36,Khadra
244848,Teddy,631,Jenks,36,Jenks
215062,Max,632,Sanders,36,Sanders
440241,Jensen,633,Weir,36,Weir
209288,Thomas,662,McGill,36,McGill
442229,Michal,663,Karbownik,36,Karbownik
486672,Moisés,664,Caicedo,36,Caicedo
40845,Dale,55,Stephens,36,Stephens
17761,James,81,Tarkowski,90,Tarkowski
17997,Phil,82,Bardsley,90,Bardsley
39487,Erik,83,Pieters,90,Pieters
40145,Jack,84,Cork,90,Cork
41674,Kevin,85,Long,90,Long
44683,Jay,86,Rodriguez,90,Rodriguez
44699,Ashley,87,Barnes,90,Barnes
51927,Ben,88,Mee,90,Mee
60551,Ashley,89,Westwood,90,Westwood
60586,Johann Berg,90,Gudmundsson,90,Gudmundsson
60689,Chris,91,Wood,90,Wood
68983,Matthew,92,Lowton,90,Lowton
81183,Matej,93,Vydra,90,Vydra
83312,Ben,94,Gibson,90,Gibson
90517,Robbie,95,Brady,90,Brady
98747,Nick,96,Pope,90,Pope
103914,Charlie,97,Taylor,90,Taylor
172782,Josh,98,Brownhill,90,Brownhill
220037,Bailey,99,Peacock-Farrell,90,Peacock-Farrell
433154,Dwight,100,McNeil,90,McNeil
218023,Jimmy,519,Dunne,90,Dunne
461102,Bobby,520,Thomas,90,Thomas
217401,Josh,535,Benson,90,Benson
195471,Anthony,536,Driscoll-Glennon,90,Driscoll-Glennon
195064,Mace,551,Goodridge,90,Goodridge
168399,Will,583,Norris,90,Norris
461450,Max,591,Thompson,90,Thompson
461096,Lewis,592,Richardson,90,Richardson
465299,Anthony,612,Mancini,90,Mancini
430367,Joel,613,Mumbongo,90,Mumbongo
184259,Richard,658,Nartey,90,Nartey
20310,Willy,101,Caballero,8,Caballero
